product_name,brand,source_filename,target_path,decision,confidence,notes
"Birch Juice Moisturizing Sunscreen SPF50+ PA++++","Round Lab"," Birch Juice Moisturizing Sunscreen SPF50+ PA++++ Un solaire hydratant et facile à comprendre, cohérent avec une sélection douce et quotidienne. Round Lab.jpeg","/assets/images/lyan-co/product-round-lab-birch-juice-moisturizing-sunscreen.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Glow Serum Propolis + Niacinamide","Beauty of Joseon"," Glow Serum Propolis + Niacinamide Un sérum éclat facile à expliquer, cohérent avec une routine courte et lumineuse. Beauty of Joseon.jpeg","/assets/images/lyan-co/product-beauty-of-joseon-glow-serum-propolis-niacinamide.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Mermaid Skin Gel UV SPF50+ PA++++","Canmake"," Mermaid Skin Gel UV SPF50+ PA++++ Un gel solaire japonais léger, utile pour une sélection J-Beauty accessible. Canmake.jpeg","/assets/images/lyan-co/product-canmake-mermaid-skin-gel-uv.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Deep Moist Shampoo","Vicrea &honey","&honey - Step 1 - Shampooing ultra hydratant 440 ml-Pas de couleur.jpeg","/assets/images/lyan-co/product-vicrea-and-honey-deep-moist-shampoo.jpeg","OK","high","Fiable: image source precise pour le shampooing &honey."
"Advanced Snail 92 All In One Cream","COSRX","Advanced Snail 92 All in One Cream | Crème Hydratante Visage 100 g.jpeg","/assets/images/lyan-co/product-cosrx-advanced-snail-92-all-in-one-cream.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Heartleaf Quercetinol Pore Deep Cleansing Foam","Anua","Anua heartleaf quercetinol pore deep cleansing foam.jpeg","/assets/images/lyan-co/product-anua-heartleaf-quercetinol-pore-deep-cleansing-foam.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Niacinamide 10% + TXA 4% Serum","Anua","Best Niacinamide Serum for Dark Spots & Acne _ Anua 10%.jpeg","/assets/images/lyan-co/product-anua-niacinamide-10-txa-4-serum.jpeg","OK","high","Fiable: nom source Anua 10% niacinamide coherent avec le produit."
"Cream Cheek","Canmake","Cream Cheek Un blush compact et accessible pour compléter la sélection sans l’élargir trop vite. Canmake.jpeg","/assets/images/lyan-co/product-canmake-cream-cheek.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Intensive Moisture Cream","Curél","CurÉl crÈme hydratante intense visage 40g.jpeg","/assets/images/lyan-co/product-curel-intensive-moisture-cream.jpeg","OK","high","Fiable: le nom source Curel creme hydratante intense correspond au produit."
"Daily Mask Weekly Care Set","mixsoon","Daily Mask Weekly Care Set Un set de masques à proposer comme routine hebdomadaire simple, sans accumulation quotidienne. mixsoon.jpeg","/assets/images/lyan-co/product-mixsoon-daily-mask-weekly-care-set.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Fino Premium Touch Hair Mask","Shiseido","Fino Premium Touch Hair Mask Un masque cheveux japonais très demandé, parfait pour ouvrir une petite sélection capillaire. Shiseido.jpeg","/assets/images/lyan-co/product-shiseido-fino-premium-touch-hair-mask.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Heartleaf Pore Control Cleansing Oil","Anua","Huile nettoyante - ANUA - Heartleaf Pore Control - 200ML - Hypoallergénique - Pour tous types de peau.jpeg","/assets/images/lyan-co/product-anua-heartleaf-pore-control-cleansing-oil.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Nadeshiko Keana Rice Pack","Ishizawa-Lab","KEANA Nadeshiko Moisturising Rice Pack 170g - Made in Japan.jpeg","/assets/images/lyan-co/product-ishizawa-lab-nadeshiko-keana-rice-pack.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Lip Monster","KATE","LIP MONSTER 1:2.jpeg","/assets/images/lyan-co/product-kate-lip-monster.jpeg","OK","high","Fiable: image principale Lip Monster 1:2."
"Lip Monster","KATE","LIP MONSTER 2:2.jpeg","/assets/images/lyan-co/product-kate-lip-monster-gallery-1.jpeg","OK","high","Fiable: image galerie Lip Monster 2:2."
"Low pH Good Morning Gel Cleanser","COSRX","Low pH Good Morning Gel Cleanser Un nettoyant gel connu, pratique pour une routine simple matin ou soir. COSRX.jpeg","/assets/images/lyan-co/product-cosrx-low-ph-good-morning-gel-cleanser.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"8 Seconds Salon Hair Mask","Masil","Masil - 8 Seconds Salon Hair Mask - 200ml (4ea) Set.jpeg","/assets/images/lyan-co/product-masil-8-seconds-salon-hair-mask.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Centella Asiatica Calming Mask","Beauty of Joseon","Masque Apaisant Centella Asiatica - Beauty of Joseon.jpeg","/assets/images/lyan-co/product-beauty-of-joseon-centella-asiatica-calming-mask.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Mighty Bamboo Panthenol Cream","Purito Seoul","Purito Mighty Bamboo Panthenol Cream _ Best K-Beauty for Skin Barrier Repair 🌿.jpeg","/assets/images/lyan-co/product-purito-seoul-mighty-bamboo-panthenol-cream.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Relief Sun Aqua-Fresh Rice + B5 SPF50+ PA++++","Beauty of Joseon","Relief Sun Aqua Fresh_ Rice + B5.jpeg","/assets/images/lyan-co/product-beauty-of-joseon-relief-sun-aqua-fresh-rice-b5.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Rosemary Scalp Scaling Shampoo","Aromatica","Rosemary Scalp Scaling Shampoo Un soin cuir chevelu clair, adapté à une sélection naturelle et fonctionnelle. Aromatica.jpeg","/assets/images/lyan-co/product-aromatica-rosemary-scalp-scaling-shampoo.jpeg","OK","high","Fiable: image source specifique Rosemary Scalp Scaling Shampoo."
"Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50+ PA++++","SKIN1004","SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50+.jpeg","/assets/images/lyan-co/product-skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Madagascar Centella Light Cleansing Oil","SKIN1004","SKIN1004 Madagascar Centella Light Cleansing Oil _ Gentle Makeup Remover & Deep Cleansing Oil.jpeg","/assets/images/lyan-co/product-skin1004-madagascar-centella-light-cleansing-oil.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Madagascar Centella Ampoule Foam","SKIN1004","Skin1004 - Madagascar Centella Ampoule Foam - Mousse nettoyante - 125 ml-Pas de couleur.jpeg","/assets/images/lyan-co/product-skin1004-madagascar-centella-ampoule-foam.jpeg","OK","high","Fiable: le nom source correspond au produit catalogue."
"Rosemary Scalp Scaling Shampoo","Aromatica","AROMATICA Shampoo Collection.jpeg","","À vérifier","low","Image Aromatica trop generique, non integree."
"Heroine Make Long & Curl Mascara Advanced Film","KissMe / Heroine Make","ISEHAN - Kiss Me Heroine rend le mascara Volume & Curl super impermeable.jpeg","","À vérifier","low","Doute produit exact: Volume & Curl vs Long & Curl Advanced Film."
"No.3 Super Glowing Essence Toner","numbuzin","Numbuzin - No_3 - Tonique Super Glowing Essence 200ml-Pas de couleur.jpeg","","À vérifier","medium","Nom plausible, visuel non confirme suffisamment."
"Madagascar Centella Poremizing Clarifying Mask","SKIN1004","SKIN1004 – Masque en stick a l'argile poreuse a la centella de Madagascar (27 g).jpeg","","À vérifier","low","Produit proche mais clay stick mask non confirme comme exact."
